id;total_population;total_male;total_female;potential_population
5206061;36985;18444;18541;24781
5206052;5493;2775;2718;3680
5206080;18086;8905;9181;12120
5206020;47701;23797;23904;31961
5206040;26874;13247;13627;18009
3471090;13603;6380;7223;11018
3471060;47160;22876;24284;38200
3471020;17564;8394;9170;14227
3471120;18216;8690;9526;14755
3471050;36165;18057;18108;29294
3471040;88667;42989;45678;71820
3471140;37757;18713;19044;30583
3471110;25831;13105;12726;20923
3471030;30475;14993;15482;24685
3471010;33103;16122;16981;26813
3471080;9341;4541;4800;7566
3471100;16932;7906;9026;13715
3471070;19019;9376;9643;15405
3471130;23911;11703;12208;19368
5206070002;2066;1034;1032;1392
5206070016;2033;1017;1016;1369
5206070010;834;438;396;562
5206071001;3740;1866;1874;2520
5206071004;5931;2999;2932;3995
5206071005;2872;1470;1402;1935
5206071006;1874;936;938;1263
5206071003;2314;1140;1174;1559
5206071002;2875;1410;1465;1937
5206051004;2170;1074;1096;1462
5206010008;4172;2049;2123;2810
5206010011;3756;1872;1884;2530
5206010010;3033;1499;1534;2043
5206010012;2292;1159;1133;1544
5206010009;4445;2238;2207;2995
5206041002;2463;1249;1214;1659
5206030006;3383;1689;1694;2279
5206030004;3205;1604;1601;2160
5206030003;3696;1837;1859;2490
5206030005;3612;1838;1774;2433
5206030002;1391;677;714;937
5206040019;1732;873;859;1167
5206040008;5723;2842;2881;3856
5206040007;6506;3151;3355;4383
5206040005;2994;1428;1566;2017
5206040006;1837;905;932;1238
5206040009;3298;1657;1641;2222
5206040018;1691;831;860;1139
5206040010;2145;1063;1082;1445
5206052002;647;334;313;436
5206052001;1838;910;928;1238
5206051002;3696;1843;1853;2490
5206051007;4825;2372;2453;3251
5206021010;3397;1662;1735;2289
5206021005;3225;1581;1644;2173
5206021002;2953;1459;1494;1989
5206081001;3273;1680;1593;2205
5206030010;2145;1074;1071;1446
5206030011;1978;996;982;1333
5206020014;4644;2276;2368;3128
5206020019;2680;1332;1348;1805
5206020017;2983;1511;1472;2010
5206020008;3627;1776;1851;2443
5206020016;3788;1890;1898;2552
5206020006;2278;1196;1082;1535
5206080005;2717;1304;1413;1830
5206020018;2485;1196;1289;1674
5206020007;3321;1670;1651;2237
5206020013;6268;3113;3155;4223
5206020005;2603;1310;1293;1754
5206020004;3495;1732;1763;2355
5206020015;6315;3180;3135;4254
5206080004;2124;1048;1076;1431
5206080003;4492;2234;2258;3026
5206021007;1417;709;708;955
5206021006;4045;2000;2045;2725
5206021011;706;349;357;476
5206081006;5015;2162;2853;3379
5206081002;3321;1631;1690;2238
5206081004;2110;1020;1090;1421
5206081003;1370;733;637;923
5206080012;1914;972;942;1290
5206080001;1445;712;733;974
5206080002;1277;614;663;861
5206080013;1699;833;866;1144
5206080008;1450;713;737;977
5206041006;3211;1536;1675;2163
5206041005;964;478;486;649
5206041004;2134;1072;1062;1437
5206050016;3161;1524;1637;2130
