BPS_ID#;KECAMATAN NAME;2010_male;2010_female;2010_total;2015_male;2015_female;2015_total;2015_adult;poverty_rupiah;poverty_people;poverty_percent;electricty_percent
5272020;Rasanae Timur;8028;8177;16205;8896;9239;18134;12966;274394;2873;15,84;72,21
5271010;Ampenan;39667;39112;78779;44076;43569;87646;64473;397468;8575;9,78;99,93
5271030;Cakranegara;31636;32451;64087;32982;33925;66907;49217;397468;7509;11,22;100
5271020;Mataram;35828;37279;73107;40805;42579;83384;61337;397468;8700;10,43;100
5271031;Sandubaya;30463;30630;61093;35950;36245;72195;53107;397468;9871;13,67;100
5271011;Sekarbela;26231;26881;53112;31995;32877;64872;47720;397468;6141;9,47;100
5271021;Selaparang;35507;37158;72665;36457;38254;74710;54957;397468;5965;7,98;99,95
5201061;Batu Layar;22679;22709;45388;24724;24818;49543;34961;353667;5143;10,38;91,59
5201020;Gerung;35220;39107;74327;38395;42737;81131;57252;353667;12564;15,49;99,62
5201060;Gunung Sari;38925;39708;78633;42436;43395;85832;60570;353667;12314;14,35;85,48
5201040;Kediri;26460;27744;54204;28846;30320;59166;41752;353667;10091;17,06;99,96
5201041;Kuripan;16752;17268;34020;18263;18871;37134;26205;353667;9058;24,39;100
5201030;Labu Api;29602;31154;60756;32272;34046;66318;46799;353667;10358;15,62;96,65
5201011;Lembar;21743;22683;44426;23704;24789;48493;34221;353667;11301;23,3;97,73
5201051;Lingsar;31004;32405;63409;33800;35414;69214;48843;353667;10640;15,37;98,02
5201050;Narmada;42797;45100;87897;46657;49287;95943;67705;353667;12707;13,24;88,73
5201010;Sekotong;28005;28225;56230;30531;30846;61377;43313;353667;19124;31,16;83,7
5202090;Batukliang;33895;37847;71742;34506;40564;75069;52969;335286;10510;14;82,71
5202091;Batukliang Utara;22412;25024;47436;23618;27033;50650;35739;335286;10547;20,82;90,59
5202040;Janapria;33269;37147;70416;34401;40242;74642;52668;335286;14974;20,06;83,94
5202070;Jonggat;42352;47289;89641;45139;48716;93856;66225;335286;13232;14,1;100
5202050;Kopang;35887;40071;75958;36402;42850;79251;55920;335286;12917;16,3;100
5202060;Praya;49021;54736;103757;52982;57409;110392;77893;335286;11052;10,01;100
5202010;Praya Barat;32760;36578;69338;35154;38376;73530;51883;335286;13739;18,68;87,62
5202011;Praya Barat Daya;24307;27140;51447;25658;28589;54247;38277;335286;10769;19,85;93,95
5202061;Praya Tengah;28390;31700;60090;30431;33176;63607;44881;335286;8422;13,24;100
5202030;Praya Timur;29735;33201;62936;31464;34586;66050;46605;335286;10643;16,11;99,33
5202080;Pringgarata;29799;33272;63071;32275;35744;68019;47994;335286;10084;14,83;99,27
5202020;Pujut;45937;51292;97229;49155;53389;102544;72355;335286;21051;20,53;87,51
5203090;Aikmel;38679;49011;87690;44964;52729;97693;67700;359235;24293;24,87;95,83
5203011;Jerowaru;23163;25856;49019;27851;30153;58004;40196;359235;10912;18,81;93,83
5203010;Keruak;21157;24431;45588;24236;27205;51442;35648;359235;8896;17,29;97,07
5203071;Labuhan Haji;22716;26950;49666;26302;29631;55934;38761;359235;7405;13,24;99,3
5203050;Masbagik;40651;47825;88476;47071;51847;98919;68550;359235;16526;16,71;100
5203031;Montong Gading;16239;19786;36025;18901;23079;41979;29091;359235;8408;20,03;91,84
5203080;Pringgabaya;40780;48795;89575;44204;49671;93875;65055;359235;24357;25,95;99,88
5203051;Pringgasela;20835;26335;47170;24264;28376;52640;36479;359235;9996;18,99;99,99
5203020;Sakra;23467;27120;50587;25681;30098;55779;38654;359235;9735;17,45;98,46
5203021;Sakra Barat;20060;24456;44516;22638;27115;49753;34479;359235;8730;17,55;95,83
5203022;Sakra Timur;17824;21347;39171;19475;23831;43306;30010;359235;9814;22,66;100
5203100;Sambelia;14508;15889;30397;15373;16194;31568;21876;359235;7724;24,47;93,5
5203070;Selong;33887;38111;71998;42207;46830;89038;61702;359235;7304;8,2;99,19
5203092;Sembalun;8285;9503;17788;9504;10217;19721;13666;359235;3927;19,91;94,61
5203040;Sikur;29994;36531;66525;31211;38347;69556;48202;359235;15805;22,72;97,5
5203081;Suela;16376;20142;36518;17728;20932;38660;26791;359235;9263;23,96;93,71
5203060;Sukamulia;12729;16046;28775;14408;17385;31792;22032;359235;5329;16,76;100
5203061;Suralaga;21426;26177;47603;24896;28673;53569;37123;359235;9826;18,34;97,89
5203030;Terara;31980;35740;67720;32249;35853;68102;47194;359235;15513;22,78;100
5203091;Wanasaba;26035;32505;58540;28045;33346;61390;42543;359235;8428;13,73;99,87
5208050;Bayan;21943;22728;44671;23385;24293;47678;33211;363367;22433;47,05;89,81
5208030;Gangga;19966;20870;40836;20647;21647;42294;29461;363367;11227;26,55;96,26
5208040;Kayangan;18334;19079;37413;19265;20109;39374;27427;363367;16973;43,11;95,45
5208010;Pemenang;16462;16084;32546;17831;17475;35307;24594;363367;7347;20,81;99,36
5208020;Tanjung;21962;22644;44606;23288;24083;47371;32998;363367;14301;30,19;98,51
5204050;Alas;14218;13903;28121;14656;14357;29013;20501;272274;6430;22,16;98,83
5204051;Alas Barat;9364;9018;18382;9860;9512;19373;13689;272274;3435;17,73;99,39
5204070;Batulanteh;5302;4854;10156;5403;4955;10358;7319;272274;6580;63,53;28,3
5204052;Buer;6821;6800;13621;7022;7011;14033;9916;272274;3178;22,65;100
5204140;Empang;11132;10523;21655;11514;10902;22416;15840;272274;2023;9,02;99,67
5204131;Labangka;5272;4940;10212;5514;5176;10690;7553;272274;2199;20,57;96,31
5204081;Labuhan Badas;14643;14449;29092;16382;16192;32574;23017;272274;3712;11,4;95,06
5204112;Lantung;1408;1360;2768;1446;1399;2845;2010;272274;872;30,65;100
5204121;Lape;8281;7839;16120;8766;8312;17078;12068;272274;3371;19,74;98,62
5204111;Lenangguar;3317;3003;6320;3369;3056;6425;4540;272274;1464;22,79;99,39
5204122;Lopok;8869;8695;17564;9359;9192;18551;13108;272274;2162;11,65;99,91
5204020;Lunyuk;9326;8783;18109;10260;9678;19938;14089;272274;3554;17,83;94,04
5204132;Maronge;5076;4695;9771;5305;4916;10221;7222;272274;1513;14,8;96,18
5204091;Moyo Utara;4643;4486;9129;4865;4707;9572;6764;272274;1015;10,6;98,26
5204090;Moyohilir;11218;10881;22099;11922;11583;23505;16609;272274;3682;15,66;100
5204100;Moyohulu;10254;9657;19911;10603;10002;20605;14560;272274;3217;15,61;98,69
5204021;Orong Telu;2400;2184;4584;2481;2262;4744;3352;272274;1229;25,91;94,28
5204130;Plampang;14269;13565;27834;15803;15049;30852;21800;272274;5197;16,84;94,67
5204062;Rhee;3592;3307;6899;3746;3456;7203;5090;272274;1727;23,98;100
5204110;Ropang;2644;2370;5014;2697;2420;5117;3616;272274;1061;20,73;93,62
5204080;Sumbawa;28548;27789;56337;30439;29681;60120;42482;272274;1877;3,12;100
5204141;Tarano;7735;7461;15196;8257;7978;16234;11471;272274;3686;22,71;100
5204082;Unter Iwes;9332;8818;18150;9914;9385;19299;13637;272274;2343;12,14;100
5204061;Utan;14521;14224;28745;15058;14774;29832;21079;272274;8042;26,96;99,83
